paper_id,ok,word_count,math_equation_references,math_greek_letters,math_math_symbols,math_total_math_indicators,stat_p_value,stat_confidence_interval,stat_significance,stat_cohens_d,stat_total_statistical,code_github_links,code_code_available_mentions,code_has_code_link,fig_figure_count,fig_unique_figures,table_table_count,table_unique_tables,comp_vs_mentions,comp_compared_to,comp_outperforms,comp_total_comparisons,dataset_dataset_mentions,dataset_unique_known_datasets,dataset_known_datasets,contrib_has_contributions_statement,contrib_bullet_points_in_intro,limit_has_limitations_section,limit_limitation_mentions,ablation_ablation_mentions,ablation_ablation_study,runs_runs_mentions,runs_seeds_mentions,runs_averaged_over,runs_total_reproducibility_indicators,error_std_mentions,error_plus_minus_symbols,error_error_bars,error_variance_mentions,error_total_error_reporting,readability_flesch_reading_ease,readability_flesch_kincaid_grade,hype_state_of_the_art,hype_revolutionary,hype_significant_improvement,hype_novel,hype_total_hype_words,metrics_unique_metrics_count,metrics_total_metric_mentions,metrics_metrics_found
11075794.pdf,True,9005,17,2,13,32,0,0,7,0,7,1,0,True,22,1,19,2,13,3,1,17,29,0,[],True,0,False,4,4,3,1,6,0,7,1,0,0,0,1,35.95,10.82,1,0,0,2,3,4,27,"['accuracy', 'auc', 'map', 'loss']"
11028131.pdf,True,13685,20,2,21,43,0,0,6,0,6,0,0,False,27,2,31,2,4,3,6,13,30,2,"['imagenet', 'bookcorpus']",False,0,False,7,6,1,5,2,0,7,1,12,0,1,14,31.2,10.98,6,0,0,0,6,7,101,"['accuracy', 'precision', 'recall', 'f1', 'auc', 'roc', 'loss']"
11028984.pdf,True,18800,4,0,6,10,0,0,7,0,7,2,0,True,24,2,24,2,0,5,3,8,121,1,['places'],False,0,False,0,0,0,3,0,0,3,1,0,0,0,1,37.11,10.22,1,0,0,0,1,5,43,"['accuracy', 'precision', 'recall', 'f1', 'loss']"
11132297.pdf,True,17240,6,0,2,8,0,0,5,0,5,0,0,False,21,1,11,2,1,1,3,5,4,0,[],False,0,False,13,2,0,0,0,0,0,0,0,0,1,1,42.04,8.93,3,0,0,2,5,7,35,"['accuracy', 'precision', 'recall', 'f1', 'map', 'rouge', 'loss']"
11098869.pdf,True,8275,10,1,0,11,0,0,7,0,7,2,0,True,4,2,6,2,0,0,0,0,29,0,[],False,0,False,6,0,0,1,0,0,1,0,0,0,0,0,20.28,12.65,0,0,1,3,4,2,10,"['accuracy', 'loss']"
11311450.pdf,True,13395,2,0,3,5,0,0,14,0,14,0,0,False,17,1,19,2,0,1,0,1,1,0,[],False,0,False,18,0,0,1,0,0,1,0,3,0,0,3,35.05,10.49,1,0,3,2,6,1,3,['accuracy']
11192262.pdf,True,18434,10,0,5,15,0,0,1,0,1,0,0,False,24,1,13,2,1,3,2,6,12,1,['mnist'],False,0,False,8,0,0,0,0,0,0,1,0,0,0,1,45.42,8.27,5,0,0,2,7,6,31,"['accuracy', 'precision', 'recall', 'f1', 'map', 'loss']"
11006992.pdf,True,9164,6,0,8,14,0,0,4,0,4,2,0,True,34,2,8,2,0,0,1,1,37,1,['imagenet'],False,0,False,0,0,0,0,0,0,0,0,0,0,0,0,54.57,7.53,2,0,2,0,4,2,2,"['accuracy', 'f-score']"
11202933.pdf,True,7615,17,0,5,22,0,0,4,0,4,0,0,False,25,1,4,2,0,1,1,2,2,0,[],False,0,False,1,0,0,0,0,0,0,0,0,0,0,0,34.37,11.2,0,0,2,1,3,1,4,['accuracy']
11108257.pdf,True,6363,20,0,12,32,0,0,9,0,9,0,0,False,15,1,10,2,1,5,3,9,39,1,['places'],False,0,False,7,4,3,0,0,0,0,0,0,0,0,0,38.57,9.96,5,0,4,2,11,6,21,"['accuracy', 'precision', 'recall', 'iou', 'map', 'loss']"
11216346.pdf,True,20706,63,0,19,82,0,0,14,0,14,2,0,True,46,1,46,2,1,2,1,4,29,0,[],False,0,False,9,0,0,2,0,0,2,0,0,0,3,3,42.48,9.13,2,0,1,3,6,4,12,"['accuracy', 'precision', 'map', 'loss']"
11071283.pdf,True,20525,4,12,15,31,0,0,18,0,18,0,0,False,23,2,11,2,0,14,6,20,38,0,[],False,0,False,5,0,0,3,0,0,3,0,0,0,0,0,18.31,13.64,2,0,5,8,15,7,33,"['accuracy', 'precision', 'f1', 'rmse', 'mse', 'r2', 'loss']"
11223224.pdf,True,13342,8,0,10,18,0,0,12,0,12,0,0,False,15,2,20,2,0,11,11,22,49,1,['places'],False,0,False,3,0,0,1,1,0,2,0,0,0,0,0,50.76,8.49,1,0,1,12,14,5,7,"['accuracy', 'precision', 'recall', 'r2', 'loss']"
11096547.pdf,True,12583,11,0,11,22,0,0,3,0,3,1,0,True,36,1,12,2,0,10,5,15,22,0,[],False,0,False,2,0,0,1,0,0,1,1,0,0,0,1,48.95,8.36,2,0,1,6,9,4,81,"['accuracy', 'precision', 'iou', 'loss']"
10945359.pdf,True,34615,0,0,5,5,0,0,65,0,65,0,0,False,12,2,67,2,2,20,26,48,146,0,[],True,0,False,16,0,0,0,1,0,1,0,0,0,0,0,38.08,9.88,17,0,15,8,40,5,36,"['accuracy', 'precision', 'recall', 'f1', 'loss']"
11006991.pdf,True,13252,2,0,31,33,0,0,11,0,11,0,0,False,94,1,21,2,0,2,7,9,138,0,[],True,0,False,8,0,0,2,0,0,2,0,0,0,1,1,23.18,12.76,5,0,1,2,8,8,159,"['accuracy', 'precision', 'recall', 'f1', 'auc', 'roc', 'map', 'loss']"
11242104.pdf,True,8767,10,0,10,20,0,0,3,0,3,0,0,False,14,1,17,2,1,1,4,6,9,1,['ade20k'],True,0,False,11,0,0,0,0,0,0,0,0,0,1,1,29.03,11.58,1,0,0,3,4,10,68,"['accuracy', 'precision', 'f1', 'mse', 'mae', 'iou', 'map', 'loss', 'top-1', 'top-5']"
