paper_id,title,year,doi,pdf_path,cluster_id
11145026.pdf,Utilizing rPPG Signal Synchronization and Deep Learning Techniques for Deepfake Video Detection,2025,,downloaded_pdfs/11145026.pdf,metadata
11121831.pdf,Machine Learning in Biomedical Informatics: Optimizing Resource Allocation and Energy Efficiency in Public Hospitals,2025,,downloaded_pdfs/11121831.pdf,metadata
DyReT_A_Dynamic_Rule_Framing_Engine_Equipped_With_Trust_Management_for_Vehicular_Networks.pdf,DyReT: A Dynamic Rule Framing Engine Equipped With Trust Management for Vehicular Networks,2020,,downloaded_pdfs/DyReT_A_Dynamic_Rule_Framing_Engine_Equipped_With_Trust_Management_for_Vehicular_Networks.pdf,metadata
11050402.pdf,Front Pitch View Shot Extraction and Ball Tracking in Cricket Using Deep-Learning,2025,,downloaded_pdfs/11050402.pdf,metadata
11008654.pdf,A Convolutional Neural Network With Time-Aware Channel Weighting for Temporal Knowledge Graph Completion,2025,,downloaded_pdfs/11008654.pdf,metadata
11231324.pdf,Recognition of Coal Gangue via Stereo Vision and Density: A Feasibility Study,2025,,downloaded_pdfs/11231324.pdf,metadata
IEEE_Access_Special_Section_Editorial_Advanced_Artificial_Intelligence_Technologies_for_Smart_Manufacturing.pdf,,n.d.,,downloaded_pdfs/IEEE_Access_Special_Section_Editorial_Advanced_Artificial_Intelligence_Technologies_for_Smart_Manufacturing.pdf,metadata
11006644.pdf,Interpersonal Relationship Detection Using Multi-Head Graph Attention Networks With Multi-Feature Fusion,2025,,downloaded_pdfs/11006644.pdf,metadata
11105402.pdf,Anomaly Detection Algorithms for Real-Time Log Data Analysis at Scale,2025,,downloaded_pdfs/11105402.pdf,metadata
11261513.pdf,Hybrid Deep Learning–SDR Sensing Framework for Noninvasive Human Emotion Recognition in Harsh Outdoor Working Environment,2025,,downloaded_pdfs/11261513.pdf,metadata
11269831.pdf,Synthetic GPS Data Generation and AI Detection Response for Spoofing on Maritime Autonomous Surface Ships,2025,,downloaded_pdfs/11269831.pdf,metadata
11106493.pdf,Flow Matching Posterior Estimation for Simulation-Based Atmospheric Retrieval of Exoplanets,2025,,downloaded_pdfs/11106493.pdf,metadata
11083882.pdf,Optimizing Internet-of-Things Energy Management: Integrating Theory of Inventive Problem Solving With Transfer Learning and,2025,,downloaded_pdfs/11083882.pdf,metadata
11224312.pdf,FL-MU: A Benchmark Dataset for Federated Intrusion Detection in IoT Networks,2025,,downloaded_pdfs/11224312.pdf,metadata
11016737.pdf,Xception Spiking Fractional Neural Network for Oral Squamous Cell Carcinoma Classification Based on Histopathological Images,2025,,downloaded_pdfs/11016737.pdf,metadata
11048853.pdf,AdaLine: Adaptive Counting Line Optimization by Perspective-Aware Trajectory Modeling in Object-Detection-Tracking Systems,2025,,downloaded_pdfs/11048853.pdf,metadata
11203948.pdf,External Quantum Self-Attention Model,2025,,downloaded_pdfs/11203948.pdf,metadata
11045754.pdf,Attention-Driven Lane Change Trajectory Prediction With Traffic Context in Urban Environments,2025,,downloaded_pdfs/11045754.pdf,metadata
11192423.pdf,Boosting the Performance of Image Restoration Models Through Training With Deep-Feature Auxiliary Guidance,2025,,downloaded_pdfs/11192423.pdf,metadata
11251376.pdf,Multi-Task Attention-Guided Deep Learning for Simultaneous Breast Cancer Detection and Density Estimation in Mammography,2025,,downloaded_pdfs/11251376.pdf,metadata
11153651.pdf,Tech-CNN: Deep Learning-Based Framework With Stacked Sequence Encoding for Predicting the Growth Potential of Technologies,2025,,downloaded_pdfs/11153651.pdf,metadata
10985741.pdf,Finding Friendly Neighborhood: Optimal D2D Relaying in mmWave IoT Networks,2025,,downloaded_pdfs/10985741.pdf,metadata
11180033.pdf,High-Accuracy Radar Parameter Estimation Under Low SNR Environments,2025,,downloaded_pdfs/11180033.pdf,metadata
11202895.pdf,Deep Learning-Based Fish Health Monitoring and Diagnosis: A Review,2025,,downloaded_pdfs/11202895.pdf,metadata
11122446.pdf,Dynamically Tunable Multidimensional Feature Focusing and Diffusion Networks for Water Surface Debris Detection,2025,,downloaded_pdfs/11122446.pdf,metadata
11173581.pdf,"Techno-Economic, Environmental, and Social Multi-Objective Optimization of a Grid-Connected Hybrid Renewable Energy System Using",2025,,downloaded_pdfs/11173581.pdf,metadata
11203961.pdf,The Rise of UAV-Based Smart Surveillance: A Systematic Review of Trends and Technologies,2025,,downloaded_pdfs/11203961.pdf,metadata
11082156.pdf,SPATL-XLC: An Explainability-Driven Framework for Efficient and Robust Federated Learning Under Non-IID Data,2025,,downloaded_pdfs/11082156.pdf,metadata
11173609.pdf,A Comprehensive Face Parsing Framework for Anxiety Detection Using Deep Learning,2025,,downloaded_pdfs/11173609.pdf,metadata
11145033.pdf,A Quantization-Aware DL-Based Channel Estimation Algorithm for OFDM Systems,2025,10.54499/2022.12897.BD.,downloaded_pdfs/11145033.pdf,metadata
11091277.pdf,AI-Driven Detection of Alkali-Silica Reaction in Concrete Structures Using Feature-Enhanced Deep Learning Models,2025,,downloaded_pdfs/11091277.pdf,metadata
11016723.pdf,Defect Diagnosis of Photovoltaic Module Visible Light Images Under Imbalanced Sample,2025,,downloaded_pdfs/11016723.pdf,metadata
11024023.pdf,Power Wavelet Cepstral Coefficients (PWCC): An Accurate Auditory Model-Based Feature Extraction Method for Robust Speaker,2025,,downloaded_pdfs/11024023.pdf,metadata
