paper_id,pdf_path,ok,error,refs_extracted,years_extracted,venues_extracted,ref_words
11223616.pdf,downloaded_pdfs/11223616.pdf,1,,26,26,26,1038
11080001.pdf,downloaded_pdfs/11080001.pdf,1,,48,48,48,1781
10937119.pdf,downloaded_pdfs/10937119.pdf,1,,52,52,52,2602
11009200.pdf,downloaded_pdfs/11009200.pdf,1,,67,67,67,2691
11043153.pdf,downloaded_pdfs/11043153.pdf,1,,33,33,33,1672
11303668.pdf,downloaded_pdfs/11303668.pdf,1,,38,38,38,1910
11003084.pdf,downloaded_pdfs/11003084.pdf,1,,58,58,58,2146
11261665.pdf,downloaded_pdfs/11261665.pdf,1,,44,44,44,1268
11000106.pdf,downloaded_pdfs/11000106.pdf,1,,54,54,54,2073
11143208.pdf,downloaded_pdfs/11143208.pdf,1,,34,34,34,2029
11087227.pdf,downloaded_pdfs/11087227.pdf,1,,75,75,75,3504
11142872.pdf,downloaded_pdfs/11142872.pdf,1,,52,52,52,2767
11052247.pdf,downloaded_pdfs/11052247.pdf,1,,38,38,38,1354
11195149.pdf,downloaded_pdfs/11195149.pdf,1,,35,35,35,1616
11231402.pdf,downloaded_pdfs/11231402.pdf,1,,37,36,37,1725
11027081.pdf,downloaded_pdfs/11027081.pdf,1,,23,23,23,1530
11002475.pdf,downloaded_pdfs/11002475.pdf,1,,35,35,35,2013
11164289.pdf,downloaded_pdfs/11164289.pdf,1,,46,46,46,2064
11269807.pdf,downloaded_pdfs/11269807.pdf,1,,37,37,37,1757
11231322.pdf,downloaded_pdfs/11231322.pdf,1,,60,60,60,3325
11263780.pdf,downloaded_pdfs/11263780.pdf,1,,47,47,47,2022
11197504.pdf,downloaded_pdfs/11197504.pdf,1,,30,30,30,1387
10945309.pdf,downloaded_pdfs/10945309.pdf,1,,63,63,63,2861
11052289.pdf,downloaded_pdfs/11052289.pdf,1,,41,41,41,2079
11184816.pdf,downloaded_pdfs/11184816.pdf,1,,46,46,46,2030
A_High-Precision_Random_Forest-Based_Maximum_Lyapunov_Exponent_Prediction_Model_for_Spherical_Porous_Gas_Bearing_Systems.pdf,downloaded_pdfs/A_High-Precision_Random_Forest-Based_Maximum_Lyapunov_Exponent_Prediction_Model_for_Spherical_Porous_Gas_Bearing_Systems.pdf,1,,17,17,17,981
10978040.pdf,downloaded_pdfs/10978040.pdf,1,,47,47,47,2131
11175387.pdf,downloaded_pdfs/11175387.pdf,1,,53,53,53,2113
11131186.pdf,downloaded_pdfs/11131186.pdf,1,,56,56,56,2325
11240103.pdf,downloaded_pdfs/11240103.pdf,1,,26,26,26,1570
10965639.pdf,downloaded_pdfs/10965639.pdf,1,,50,50,50,1823
11059908.pdf,downloaded_pdfs/11059908.pdf,1,,75,74,75,3281
10985897.pdf,downloaded_pdfs/10985897.pdf,1,,46,46,46,2891
11050370.pdf,downloaded_pdfs/11050370.pdf,1,,32,32,32,1668
10937150.pdf,downloaded_pdfs/10937150.pdf,1,,56,55,56,2143
11008603.pdf,downloaded_pdfs/11008603.pdf,1,,89,89,89,2589
11263858.pdf,downloaded_pdfs/11263858.pdf,1,,58,58,58,2450
